Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
http://purl.org/dc/terms/creator,Object Property,,,Dataset,http://xmlns.com/foaf/spec/Agent,,"A relation between a dataset and its creator, identifying the individual or entity responsible for the initial development or generation of the data",http://purl.org/dc/terms,has Creator
http://purl.org/dc/terms/contributor,Object Property,,,Dataset,http://xmlns.com/foaf/spec/Agent,,"A relation that establishes a link between a dataset and its contributors, recognizing individuals or entities who have contributed to the dataset beyond its creation",http://purl.org/dc/terms,has Contributor
http://purl.org/dc/terms/distribution,Object Property,,,Dataset,DataFormat,,A relation that indicates a format or data structure in which the dataset is presented or stored,http://purl.org/dc/terms,has Data Format
hasDataCategory,Object Property,,,Dataset,DataCategory,,Specifies the category or classification to which the dataset belongs,https://raw.githubusercontent.com/TheWorldAvatar/ontodatadoc/refs/heads/main/OntDataDoc.owl,has Data Category
http://purl.org/dc/terms/spatial,Object Property,,,Dataset,http://purl.org/dc/terms/Location,,,http://purl.org/dc/terms,has Coverage
http://purl.org/dc/terms/language,Object Property,,,Dataset,http://purl.org/dc/terms/LinguisticSystem,,Establishes the linguistic context or the language of the dataset,http://purl.org/dc/terms,has Language
http://purl.org/dc/terms/subject,Object Property,,,Dataset,Subject,,"Identifies the main topic or theme of the dataset, providing a concise description of the primary focus or purpose of the data",http://purl.org/dc/terms,has Subject
extractedFrom,Object Property,,,Dataset,DataSource,,"Specifies the source or origin from which the dataset was extracted, offering insights into the data's provenance",https://raw.githubusercontent.com/TheWorldAvatar/ontodatadoc/refs/heads/main/OntDataDoc.owl,extracted From
hasDataValidation,Object Property,,,QualityControl,DataValidation,,A relation between a dataset and its validation processes to ensure the accuracy and reliability of the data,https://raw.githubusercontent.com/TheWorldAvatar/ontodatadoc/refs/heads/main/OntDataDoc.owl,has Data Validation
hasMissingData,Object Property,,,QualityControl,MissingData,,Establishes a connection between a dataset and its missing data information to indicate the absence or incompleteness of data,https://raw.githubusercontent.com/TheWorldAvatar/ontodatadoc/refs/heads/main/OntDataDoc.owl,has Missing Data
http://purl.org/dc/terms/hasVersion,Object Property,,,QualityControl,Versioning,,"Specifies the version or iteration of the dataset, offering insights into the evolution and changes made over time",http://purl.org/dc/terms,has Version
