Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
ExpectedLifetime,Class,CircularityProperty,IS-A,,,,,http://www.theworldavatar.com/kg/ontomatpassport,ExpectedLifetime
ServiceLife,Class,TemporalProperty,IS-A,,,,A temporary property expressing the duration an object may serve its intended purpose.,http://www.theworldavatar.com/kg/ontomatpassport,ServiceLife
ServiceLife,Class,CircularityProperty,IS-A,,,,,http://www.theworldavatar.com/kg/ontomatpassport,ServiceLife
http://www.ontology-of-units-of-measure.org/resource/om-2/HeatTransferCoefficient,Class,ThermalProperty,IS-A,,,,A thermal property that describes the heat transfer coefficient of an object.,http://www.ontology-of-units-of-measure.org/resource/om-2,HeatTransferCoefficient
http://www.ontology-of-units-of-measure.org/resource/om-2/ThermalConductivity,Class,ThermalProperty,IS-A,,,,A thermal property that describes the capacity of an object to conduct heat.,http://www.ontology-of-units-of-measure.org/resource/om-2,ThermalConductivity
Flammability,Class,ChemicalProperty,IS-A,,,,A property that determines the ease and intensity with which an object can ignite and burn.,http://www.theworldavatar.com/kg/ontomatpassport,Flammability
Toxicity,Class,ChemicalProperty,IS-A,,,,A property that indicates the degree to which a substance can be harmful or poisonous.,http://www.theworldavatar.com/kg/ontomatpassport,Toxicity
Biodegradability,Class,BiologicalProperty,IS-A,,,,"A property expressing whether an object is entirely, partially or not biodegradable.",http://www.theworldavatar.com/kg/ontomatpassport,Biodegradability
ConstituentMaterial,Class,CompositionProperty,IS-A,,,,A property to describe the type and amount of constituent materials belonging to an object.,http://www.theworldavatar.com/kg/ontomatpassport,ConstituentMaterial
ConstituentMaterial,Class,http://emmo.info/emmo#EMMO_4207e895_8b83_4318_996a_72cfb32acd94,EQUIVALENT-TO,,,,,,
ConstituentPart,Class,CompositionProperty,IS-A,,,,A part or component of a bigger whole or component or product.,http://www.theworldavatar.com/kg/ontomatpassport,ConstituentPart
ConstituentPart,Class,Component,EQUIVALENT-TO,,,,,,
FeedstockFractionFromRecycledProduct,Class,CircularityProperty,IS-A,,,,The fraction of feedstock from recycled products.,http://www.theworldavatar.com/kg/ontomatpassport,FR
FeedstockFractionFromReusedProduct,Class,CircularityProperty,IS-A,,,,The fraction of feedstock from reused products.,http://www.theworldavatar.com/kg/ontomatpassport,FU
LinearFlowIndex,Class,CircularityProperty,IS-A,,,,"The proportion of material that moves from its origin as virgin materials to its final state as non-recyclable waste [Ellen MacArthur Foundation, 2015]",http://www.theworldavatar.com/kg/ontomatpassport,LFI
MaterialCircularityIndicator,Class,CircularityProperty,IS-A,,,,A measure of how circular the materials of a product are.,http://www.theworldavatar.com/kg/ontomatpassport,MCI
ProductFractionCollectedForRecycling,Class,CircularityProperty,IS-A,,,,The fraction of a product collected for recycling.,http://www.theworldavatar.com/kg/ontomatpassport,CR
ProductFractionCollectedForReuse,Class,CircularityProperty,IS-A,,,,The fraction of a product collected for reuse.,http://www.theworldavatar.com/kg/ontomatpassport,CU
RecyclingEfficiencyForPortionCollectedForRecycling,Class,CircularityProperty,IS-A,,,,The recycling efficiency of a portion collected from a product for recycling.,http://www.theworldavatar.com/kg/ontomatpassport,EC
RecyclingEfficiencyForProducingFeedstock,Class,CircularityProperty,IS-A,,,,The recycling efficiency in producing recycled feedstock.,http://www.theworldavatar.com/kg/ontomatpassport,EF
VirginContentMass,Class,CircularityProperty,IS-A,,,,The mass of virgin content in a product.,http://www.theworldavatar.com/kg/ontomatpassport,VirginContentMass
WasteMassAfterTakingRecyclableReusablePortion,Class,CircularityProperty,IS-A,,,,The mass of waste that remains after the recyclable and reusable materials have been separated and that cannot be turned into useful materials.,http://www.theworldavatar.com/kg/ontomatpassport,W0
WasteMassGeneratedInProducingRecycledFeedstock,Class,CircularityProperty,IS-A,,,,The mass of waste generated while producing recycled feedstock.,http://www.theworldavatar.com/kg/ontomatpassport,WF
WasteMassGeneratedInRecyclingCollectedPortion,Class,CircularityProperty,IS-A,,,,The mass of waste generated while recycling the collected portion of a product.,http://www.theworldavatar.com/kg/ontomatpassport,WC
TotalWasteMass,Class,CircularityProperty,IS-A,,,,The total mass of waste generated from both the recycling and reuse processes.,http://www.theworldavatar.com/kg/ontomatpassport,W
Mass,Class,CircularityProperty,IS-A,,,,,http://www.theworldavatar.com/kg/ontomatpassport,Mass
CarbonFootprint,Class,EnvironmentalProperty,IS-A,,,,The total amount of carbon dioxide (CO2) emitted during the raw material extraction and production process.,http://www.theworldavatar.com/kg/ontomatpassport,CarbonFootprint
WaterUsage,Class,EnvironmentalProperty,IS-A,,,,The total amount of water consumed during the raw material extraction and production processes.,http://www.theworldavatar.com/kg/ontomatpassport,WaterUsage
http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,Class,,,,,,,http://www.ontology-of-units-of-measure.org/resource/om-2,Quantity
http://www.ontology-of-units-of-measure.org/resource/om-2/Measure,Class,,,,,,,http://www.ontology-of-units-of-measure.org/resource/om-2,Measure
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,Class,,,,,,,http://www.ontology-of-units-of-measure.org/resource/om-2,Unit
https://w3id.org/mdo/core/PhysicalProperty,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,IS-A,,,,,https://w3id.org/mdo/core,PhysicalProperty
TemporalProperty,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,IS-A,,,,A property to express the temporal aspect of an object.,http://www.theworldavatar.com/kg/ontomatpassport,TemporalProperty
ThermalProperty,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,IS-A,,,,A property to express the thermal aspect of an object.,http://www.theworldavatar.com/kg/ontomatpassport,ThermalProperty
CircularityProperty,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,IS-A,,,,A property that expresses the circular economy aspect of an object.,http://www.theworldavatar.com/kg/ontomatpassport,CircularityProperty
EnvironmentalProperty,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,IS-A,,,,A property that expresses the environmental aspect of an object.,http://www.theworldavatar.com/kg/ontomatpassport,EnvironmentalProperty
DimensionlessQuantity,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,IS-A,,,,A quantity that cannot be associated with a unit of measure.,http://www.theworldavatar.com/kg/ontomatpassport,DimensionlessQuantity
http://www.ontology-of-units-of-measure.org/resource/om-2/SpecificHeatCapacity,Class,,,,,,The quantity of heat needed to increase the temperature of a material's unit mass by one unit.,http://www.ontology-of-units-of-measure.org/resource/om-2,SpecificHeatCapacity
ChemicalComposition,Class,,,,,,"Chemical composition refers to the arrangement, type, and ratio of atoms in molecules of chemical substances [Chemistry LibreTexts].",http://www.theworldavatar.com/kg/ontomatpassport,ChemicalComposition
hasCountry,Object Property,,,Manufacturer UNION Supplier,https://dbpedia.org/ontology/Country,,An object property referring to the country where a manufacturing company is located.,http://www.theworldavatar.com/kg/ontomatpassport,hasCountry
hasRegistrationCountry,Object Property,hasCountry,IS-A,Manufacturer UNION Supplier,https://dbpedia.org/ontology/Country,,"An object property referring to the country where a manufacturer, supplier, company or industry is registered.",http://www.theworldavatar.com/kg/ontomatpassport,hasRegistrationCountry
describes,Object Property,,,Material Passport,http://emmo.info/emmo#EMMO_4207e895_8b83_4318_996a_72cfb32acd94 UNION Component UNION Product,,An object property indicating what is described by a material passport.,http://www.theworldavatar.com/kg/ontomatpassport,describes
http://www.ontology-of-units-of-measure.org/resource/om-2/hasUnit,Object Property,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Measure,http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,,An object property referring to the unit associated with a measured value.,http://www.ontology-of-units-of-measure.org/resource/om-2,hasUnit
http://www.ontology-of-units-of-measure.org/resource/om-2/hasValue,Object Property,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,http://www.ontology-of-units-of-measure.org/resource/om-2/Measure,,An object property referring to the measured value of a quantity.,http://www.ontology-of-units-of-measure.org/resource/om-2,hasValue
hasSpecificHeatCapacity,Object Property,,,http://emmo.info/emmo#EMMO_4207e895_8b83_4318_996a_72cfb32acd94,http://www.ontology-of-units-of-measure.org/resource/om-2/SpecificHeatCapacity,,The quantity of heat needed to increase the temperature of a material's unit mass by one unit.,http://www.theworldavatar.com/kg/ontomatpassport,hasSpecificHeatCapacity
hasProperty,Object Property,,,Product UNION Component UNION http://emmo.info/emmo#EMMO_4207e895_8b83_4318_996a_72cfb32acd94,http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#Property,,"An object property referring to a property or characteristic of a component, product or material.",http://www.theworldavatar.com/kg/ontomatpassport,hasProperty
hasManufacturer,Object Property,,,Product UNION Component UNION http://emmo.info/emmo#EMMO_4207e895_8b83_4318_996a_72cfb32acd94,Manufacturer,,"An object property referring to the manufacturer of a component, product or material.",http://www.theworldavatar.com/kg/ontomatpassport,hasManufacturer
hasRecycler,Object Property,,,Product UNION Component UNION http://emmo.info/emmo#EMMO_4207e895_8b83_4318_996a_72cfb32acd94,Recycler,,"An object property referring to the recycler of a component, product or material.",http://www.theworldavatar.com/kg/ontomatpassport,hasRecycler
hasCollector,Object Property,,,Product UNION Component UNION http://emmo.info/emmo#EMMO_4207e895_8b83_4318_996a_72cfb32acd94,Collector,,"An object property referring to the collector of a component, product or material.",http://www.theworldavatar.com/kg/ontomatpassport,hasCollector
hasSupplier,Object Property,,,Product UNION Component UNION http://emmo.info/emmo#EMMO_4207e895_8b83_4318_996a_72cfb32acd94,Supplier,,"An object property referring to the supplier of a component, product or material.",http://www.theworldavatar.com/kg/ontomatpassport,hasSupplier
hasImage,Object Property,,,Product UNION Component,http://purl.org/dc/dcmitype/Image,,An object property referring to the image of a product or component.,http://www.theworldavatar.com/kg/ontomatpassport,hasImage
hasChemicalComposition,Object Property,,,http://emmo.info/emmo#EMMO_4207e895_8b83_4318_996a_72cfb32acd94,ChemicalComposition,,An object property referring to the chemical composition of a material.,http://www.theworldavatar.com/kg/ontomatpassport,hasChemicalComposition
http://purl.org/dc/elements/1.1/creator,Object Property,,,MaterialPassport,Manufacturer,,The organisation responsible for creating the material passport.,http://www.theworldavatar.com/kg/ontomatpassport,creator
http://purl.org/dc/terms/created,Data Property,,,MaterialPassport,date time,,The date and time when the material passport was created.,http://www.theworldavatar.com/kg/ontomatpassport,created
description,Data Property,,,Product UNION Component UNION http://emmo.info/emmo#EMMO_4207e895_8b83_4318_996a_72cfb32acd94,string,,"A narrative or detailed account of a product, component or material.",http://www.theworldavatar.com/kg/ontomatpassport,description
